20/01/13 14:14
プロジェクトの翻訳状況

            	   分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	154678	779904	   8923897	   9269946	  181	
未翻訳：        	143788	760305	   8693110	   9029927	  181	
繰り返しを除いた：   	104994	633300	   7442779	   7751999	  181	
繰り返しを除いた未翻訳：	104903	633098	   7441466	   7750580	  181	


ファイルごとの翻訳状況：

ファイル名                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
unittest.html           	    620	   573	        394	           394	   3135	  3056	       2528	          2528	         38258	        37333	             30924	                30924	         39810	        38853	             32371	                32371	
uri.html                	    294	   245	        152	           152	   1738	  1660	       1309	          1309	         21103	        20427	             17295	                17295	         21878	        21173	             18013	                18013	
util.html               	     40	    29	          9	             9	    268	   252	         59	            59	          2436	         2326	               485	                  485	          2458	         2343	               501	                  501	
var_t_return.html       	     20	    19	          1	             1	    330	   327	          1	             1	          3036	         3024	                12	                   12	          3180	         3166	                12	                   12	
varints.html            	     85	    72	         35	            35	    508	   488	        250	           250	          5505	         5347	              3117	                 3117	          5618	         5453	              3215	                 3215	
volatile.html           	     43	    33	         18	            18	    358	   344	        150	           150	          3205	         3123	              1271	                 1271	          3296	         3210	              1354	                 1354	
widestrs.html           	    100	    80	         50	            50	    591	   559	        336	           336	          6931	         6623	              4341	                 4341	          7052	         6732	              4440	                 4440	
winlean.html            	   4011	  3647	       2256	          2256	  17558	 16840	      13803	         13803	        225024	       215122	            179939	               179939	        229235	       218977	            183598	               183598	
wordwrap.html           	     56	    44	         16	            16	    341	   324	         94	            94	          3985	         3874	              1453	                 1453	          4059	         3943	              1500	                 1500	
xmlparser.html          	    126	   114	         44	            44	    721	   705	        330	           330	          8584	         8500	              4385	                 4385	          8848	         8760	              4538	                 4538	
xmltree.html            	    735	   643	        405	           405	   4181	  4032	       3262	          3262	         56703	        55192	             47788	                47788	         58711	        57141	             49575	                49575	
