20/01/13 14:14
プロジェクトの翻訳状況

            	   分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	154678	779904	   8923897	   9269946	  181	
未翻訳：        	143788	760305	   8693110	   9029927	  181	
繰り返しを除いた：   	104994	633300	   7442779	   7751999	  181	
繰り返しを除いた未翻訳：	104903	633098	   7441466	   7750580	  181	


ファイルごとの翻訳状況：

ファイル名                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
dom.html                	   2369	  2145	       1574	          1574	  11163	 10723	       9265	          9265	        143538	       137518	            124182	               124182	        146475	       140239	            126879	               126879	
dynlib.html             	    160	   145	         86	            86	    923	   901	        608	           608	         11042	        10874	              8140	                 8140	         11394	        11213	              8439	                 8439	
editdistance.html       	     55	    43	         20	            20	    366	   348	        137	           137	          3819	         3689	              1686	                 1686	          3903	         3767	              1752	                 1752	
encodings.html          	    138	   123	         82	            82	    791	   769	        536	           536	          9127	         8959	              6635	                 6635	          9398	         9223	              6889	                 6889	
endians.html            	    107	    88	         57	            57	    634	   602	        374	           374	          8192	         7866	              5614	                 5614	          8313	         7974	              5720	                 5720	
estp.html               	    164	   160	         67	            67	    729	   722	        448	           448	          5652	         5613	              2714	                 2714	          6023	         5981	              3068	                 3068	
fenv.html               	    508	   492	        312	           312	   2733	  2711	       2162	          2162	         27259	        27101	             21678	                21678	         28170	        28002	             22484	                22484	
filters.html            	    159	   153	        108	           108	    952	   943	        689	           689	          8626	         8573	              6301	                 6301	          9303	         9247	              6945	                 6945	
gc.html                 	    103	    98	         83	            83	   1279	  1271	       1059	          1059	          8960	         8909	              6827	                 6827	          9903	         9849	              7761	                 7761	
hashes.html             	    366	   331	        201	           201	   2025	  1971	       1492	          1492	         23842	        23346	             18998	                18998	         24656	        24139	             19702	                19702	
hcr.html                	     99	    98	         88	            88	   1052	  1049	        857	           857	         11780	        11768	              9950	                 9950	         12538	        12524	             10697	                10697	
heapqueue.html          	    191	   169	        111	           111	   1271	  1237	        933	           933	         13957	        13667	             10776	                10776	         14373	        14069	             11148	                11148	
highlite.html           	    177	   155	        123	           123	   1020	   984	        764	           764	         14263	        13899	             11611	                11611	         14658	        14280	             11991	                11991	
htmlgen.html            	   1501	  1490	        873	           873	   7253	  7238	       5626	          5626	         73711	        73628	             58225	                58225	         75559	        75472	             59717	                59717	
htmlparser.html         	    535	   509	        433	           433	   3113	  3072	       2720	          2720	         39912	        39493	             35944	                35944	         46758	        46316	             42702	                42702	
httpclient.html         	   1176	  1130	        612	           612	   6188	  6104	       4294	          4294	         83824	        82788	             57628	                57628	         87047	        85971	             60043	                60043	
httpcore.html           	    841	   757	        556	           556	   3880	  3722	       3127	          3127	         41305	        39243	             33474	                33474	         42712	        40570	             34761	                34761	
idetools.html           	    368	   361	        275	           275	   3278	  3268	       2925	          2925	         26573	        26513	             22672	                22672	         29285	        29222	             25291	                25291	
intern.html             	    522	   512	        437	           437	   4379	  4365	       4058	          4058	         37045	        36949	             33558	                33558	         40648	        40548	             37097	                37097	
intsets.html            	    481	   423	        261	           261	   2653	  2564	       2040	          2040	         35391	        34520	             29557	                29557	         36418	        35514	             30469	                30469	
io.html                 	    552	   514	        384	           384	   3554	  3492	       2865	          2865	         40399	        39703	             34071	                34071	         42264	        41536	             35635	                35635	
iterators.html          	    323	   302	        178	           178	   2168	  2133	       1478	          1478	         24405	        24035	             18827	                18827	         25310	        24914	             19399	                19399	
iup.html                	   5770	  5108	       4428	          4428	  26021	 24705	      23076	         23076	        269207	       250923	            233544	               233544	        274018	       255080	            237655	               237655	
jsconsole.html          	    133	   111	         52	            52	    653	   619	        338	           338	          7153	         6827	              4139	                 4139	          7247	         6909	              4217	                 4217	
jscore.html             	    758	   676	        431	           431	   3640	  3484	       2793	          2793	         43375	        41331	             34867	                34867	         44084	        41966	             35501	                35501	
jsffi.html              	    890	   820	        547	           547	   4947	  4823	       3961	          3961	         55855	        54303	             46933	                46933	         57642	        56018	             48550	                48550	
json.html               	   1125	  1073	        668	           668	   5687	  5598	       4476	          4476	         72172	        71102	             60482	                60482	         74651	        73516	             62607	                62607	
koch.html               	     76	    68	         39	            39	    626	   615	        386	           386	          4520	         4443	              2294	                 2294	          4893	         4813	              2636	                 2636	
lenientops.html         	    161	   139	         75	            75	    998	   960	        674	           674	         11638	        11228	              8635	                 8635	         11979	        11553	              8956	                 8956	
lexbase.html            	    187	   174	        102	           102	    979	   961	        663	           663	         10893	        10781	              7862	                 7862	         11368	        11251	              8306	                 8306	
lib.html                	    435	   417	        289	           285	   2314	  2282	       1873	          1865	         18091	        17871	             13774	                13718	         19768	        19534	             15333	                15273	
linenoise.html          	    157	   131	         89	            88	    803	   753	        521	           513	          9920	         9441	              7082	                 7051	         10037	         9538	              7181	                 7147	
linux.html              	    209	   179	        145	           145	    974	   920	        694	           694	          9533	         8899	              6792	                 6792	          9684	         9026	              6918	                 6918	
lists.html              	    854	   738	        424	           424	   4659	  4469	       3050	          3050	         56025	        54197	             39690	                39690	         57553	        55651	             40607	                40607	
locks.html              	    154	   140	         88	            88	    832	   814	        544	           544	          9128	         9026	              6473	                 6473	          9365	         9259	              6663	                 6663	
logging.html            	    815	   729	        451	           451	   4575	  4430	       3497	          3497	         46314	        45077	             37150	                37150	         49307	        48011	             39853	                39853	
macros.html             	   3341	  3204	       2160	          2150	  16081	 15824	      13344	         13324	        209582	       206554	            182184	               182045	        217491	       214303	            189224	               189075	
manual.html             	   4288	  4209	       3521	          3511	  34206	 34092	      32612	         32594	        351178	       350377	            331407	               331292	        381186	       380350	            360782	               360659	
manual_experimental.html	    874	   863	        727	           726	   7355	  7340	       6965	          6964	         80754	        80653	             76214	                76204	         86917	        86812	             82297	                82287	
marshal.html            	    117	    95	         47	            47	    692	   658	        415	           415	          7976	         7720	              5320	                 5320	          8245	         7977	              5557	                 5557	
math.html               	   1582	  1430	        913	           913	   7896	  7614	       6395	          6395	         96051	        93133	             83257	                83257	         99554	        96504	             86476	                86476	
md5.html                	    164	   141	         87	            87	    876	   840	        529	           529	          9463	         9169	              6480	                 6480	          9752	         9445	              6704	                 6704	
